# Size = 20000
# Threads Time Speedup
1 0.646943 0.996296
2 0.327949 1.965388
4 0.253482 2.542771
7 0.164206 3.925233
8 0.115708 5.570456
16 0.048884 13.185257
20 0.070281 9.170995
40 0.054428 11.842173

# Size = 40000
# Threads Time Speedup
1 2.576648 0.997322
2 1.276668 2.012856
4 0.732710 3.507184
7 0.404592 6.351457
8 0.373618 6.878009
16 0.239325 10.737484
20 0.174773 14.703354
40 0.146627 17.525761

